UNITID,XSCUGRAD,SCUGRAD,XSCUGDGSK,SCUGDGSK,XSCUGNDGS,SCUGNDGS,XSCUGFFN,SCUGFFN,XSCUGFFP,SCUGFFP,XSCFA2,SCFA2,XSCFA2DG,SCFA2DG,XSCFA2ND,SCFA2ND,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFA11N,SCFA11N,XSCFA11P,SCFA11P,XSCFA12N,SCFA12N,XSCFA12P,SCFA12P,XSCFA13N,SCFA13N,XSCFA13P,SCFA13P,XSCFA14N,SCFA14N,XSCFA14P,SCFA14P,XSCFY2,SCFY2,XSCFY2DG,SCFY2DG,XSCFY2ND,SCFY2ND,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XUAGRNTN,UAGRNTN,XUAGRNTP,UAGRNTP,XUAGRNTT,UAGRNTT,XUAGRNTA,UAGRNTA,XUDGAGRNTN,UDGAGRNTN,XUDGAGRNTP,UDGAGRNTP,XUDGAGRNTT,UDGAGRNTT,XUDGAGRNTA,UDGAGRNTA,XUNDAGRNTN,UNDAGRNTN,XUNDAGRNTP,UNDAGRNTP,XUNDAGRNTT,UNDAGRNTT,XUNDAGRNTA,UNDAGRNTA,XUPGRNTN,UPGRNTN,XUPGRNTP,UPGRNTP,XUPGRNTT,UPGRNTT,XUPGRNTA,UPGRNTA,XUDGPGRNTN,UDGPGRNTN,XUDGPGRNTP,UDGPGRNTP,XUDGPGRNTT,UDGPGRNTT,XUDGPGRNTA,UDGPGRNTA,XUNDPGRNTN,UNDPGRNTN,XUNDPGRNTP,UNDPGRNTP,XUNDPGRNTT,UNDPGRNTT,XUNDPGRNTA,UNDPGRNTA,XUFLOANN,UFLOANN,XUFLOANP,UFLOANP,XUFLOANT,UFLOANT,XUFLOANA,UFLOANA,XUDGFLOANN,UDGFLOANN,XUDGFLOANP,UDGFLOANP,XUDGFLOANT,UDGFLOANT,XUDGFLOANA,UDGFLOANA,XUNDFLOANN,UNDFLOANN,XUNDFLOANP,UNDFLOANP,XUNDFLOANT,UNDFLOANT,XUNDFLOANA,UNDFLOANA,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XAIDFSIN,AIDFSIN,XAIDFSIP,AIDFSIP,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_T,AGRNT_T,XAGRNT_A,AGRNT_A,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_T,FGRNT_T,XFGRNT_A,FGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_T,PGRNT_T,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_T,OFGRT_T,XOFGRT_A,OFGRT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_T,SGRNT_T,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_T,IGRNT_T,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_T,LOAN_T,XLOAN_A,LOAN_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_T,FLOAN_T,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_T,OLOAN_T,XOLOAN_A,OLOAN_A,XGISTN2,GISTN2,XGISTON2,GISTON2,XGISTWF2,GISTWF2,XGISTOF2,GISTOF2,XGISTUN2,GISTUN2,XGISTT2,GISTT2,XGISTA2,GISTA2,XGISTN1,GISTN1,XGISTON1,GISTON1,XGISTWF1,GISTWF1,XGISTOF1,GISTOF1,XGISTUN1,GISTUN1,XGISTT1,GISTT1,XGISTA1,GISTA1,XGISTN0,GISTN0,XGISTON0,GISTON0,XGISTWF0,GISTWF0,XGISTOF0,GISTOF0,XGISTUN0,GISTUN0,XGISTT0,GISTT0,XGISTA0,GISTA0,XGIS4N2,GIS4N2,XGIS4ON2,GIS4ON2,XGIS4WF2,GIS4WF2,XGIS4OF2,GIS4OF2,XGIS4UN2,GIS4UN2,XGIS4G2,GIS4G2,XGIS4T2,GIS4T2,XGIS4A2,GIS4A2,XGIS4N12,GIS4N12,XGIS4G12,GIS4G12,XGIS4T12,GIS4T12,XGIS4A12,GIS4A12,XGIS4N22,GIS4N22,XGIS4G22,GIS4G22,XGIS4T22,GIS4T22,XGIS4A22,GIS4A22,XGIS4N32,GIS4N32,XGIS4G32,GIS4G32,XGIS4T32,GIS4T32,XGIS4A32,GIS4A32,XGIS4N42,GIS4N42,XGIS4G42,GIS4G42,XGIS4T42,GIS4T42,XGIS4A42,GIS4A42,XGIS4N52,GIS4N52,XGIS4G52,GIS4G52,XGIS4T52,GIS4T52,XGIS4A52,GIS4A52,XGIS4N1,GIS4N1,XGIS4ON1,GIS4ON1,XGIS4WF1,GIS4WF1,XGIS4OF1,GIS4OF1,XGIS4UN1,GIS4UN1,XGIS4G1,GIS4G1,XGIS4T1,GIS4T1,XGIS4A1,GIS4A1,XGIS4N11,GIS4N11,XGIS4G11,GIS4G11,XGIS4T11,GIS4T11,XGIS4A11,GIS4A11,XGIS4N21,GIS4N21,XGIS4G21,GIS4G21,XGIS4T21,GIS4T21,XGIS4A21,GIS4A21,XGIS4N31,GIS4N31,XGIS4G31,GIS4G31,XGIS4T31,GIS4T31,XGIS4A31,GIS4A31,XGIS4N41,GIS4N41,XGIS4G41,GIS4G41,XGIS4T41,GIS4T41,XGIS4A41,GIS4A41,XGIS4N51,GIS4N51,XGIS4G51,GIS4G51,XGIS4T51,GIS4T51,XGIS4A51,GIS4A51,XGIS4N0,GIS4N0,XGIS4ON0,GIS4ON0,XGIS4WF0,GIS4WF0,XGIS4OF0,GIS4OF0,XGIS4UN0,GIS4UN0,XGIS4G0,GIS4G0,XGIS4T0,GIS4T0,XGIS4A0,GIS4A0,XGIS4N10,GIS4N10,XGIS4G10,GIS4G10,XGIS4T10,GIS4T10,XGIS4A10,GIS4A10,XGIS4N20,GIS4N20,XGIS4G20,GIS4G20,XGIS4T20,GIS4T20,XGIS4A20,GIS4A20,XGIS4N30,GIS4N30,XGIS4G30,GIS4G30,XGIS4T30,GIS4T30,XGIS4A30,GIS4A30,XGIS4N40,GIS4N40,XGIS4G40,GIS4G40,XGIS4T40,GIS4T40,XGIS4A40,GIS4A40,XGIS4N50,GIS4N50,XGIS4G50,GIS4G50,XGIS4T50,GIS4T50,XGIS4A50,GIS4A50,XNPIST2,NPIST2,XNPIST1,NPIST1,XNPIST0,NPIST0,XNPIS412,NPIS412,XNPIS422,NPIS422,XNPIS432,NPIS432,XNPIS442,NPIS442,XNPIS452,NPIS452,XNPIS411,NPIS411,XNPIS421,NPIS421,XNPIS431,NPIS431,XNPIS441,NPIS441,XNPIS451,NPIS451,XNPIS410,NPIS410,XNPIS420,NPIS420,XNPIS430,NPIS430,XNPIS440,NPIS440,XNPIS450,NPIS450,XGRNTN2,GRNTN2,XGRNTON2,GRNTON2,XGRNTWF2,GRNTWF2,XGRNTOF2,GRNTOF2,XGRNTUN2,GRNTUN2,XGRNTT2,GRNTT2,XGRNTA2,GRNTA2,XGRNTN1,GRNTN1,XGRNTON1,GRNTON1,XGRNTWF1,GRNTWF1,XGRNTOF1,GRNTOF1,XGRNTUN1,GRNTUN1,XGRNTT1,GRNTT1,XGRNTA1,GRNTA1,XGRNTN0,GRNTN0,XGRNTON0,GRNTON0,XGRNTWF0,GRNTWF0,XGRNTOF0,GRNTOF0,XGRNTUN0,GRNTUN0,XGRNTT0,GRNTT0,XGRNTA0,GRNTA0,XGRN4N2,GRN4N2,XGRN4ON2,GRN4ON2,XGRN4WF2,GRN4WF2,XGRN4OF2,GRN4OF2,XGRN4UN2,GRN4UN2,XGRN4G2,GRN4G2,XGRN4T2,GRN4T2,XGRN4A2,GRN4A2,XGRN4N12,GRN4N12,XGRN4G12,GRN4G12,XGRN4T12,GRN4T12,XGRN4A12,GRN4A12,XGRN4N22,GRN4N22,XGRN4G22,GRN4G22,XGRN4T22,GRN4T22,XGRN4A22,GRN4A22,XGRN4N32,GRN4N32,XGRN4G32,GRN4G32,XGRN4T32,GRN4T32,XGRN4A32,GRN4A32,XGRN4N42,GRN4N42,XGRN4G42,GRN4G42,XGRN4T42,GRN4T42,XGRN4A42,GRN4A42,XGRN4N52,GRN4N52,XGRN4G52,GRN4G52,XGRN4T52,GRN4T52,XGRN4A52,GRN4A52,XGRN4N1,GRN4N1,XGRN4ON1,GRN4ON1,XGRN4WF1,GRN4WF1,XGRN4OF1,GRN4OF1,XGRN4UN1,GRN4UN1,XGRN4G1,GRN4G1,XGRN4T1,GRN4T1,XGRN4A1,GRN4A1,XGRN4N11,GRN4N11,XGRN4G11,GRN4G11,XGRN4T11,GRN4T11,XGRN4A11,GRN4A11,XGRN4N21,GRN4N21,XGRN4G21,GRN4G21,XGRN4T21,GRN4T21,XGRN4A21,GRN4A21,XGRN4N31,GRN4N31,XGRN4G31,GRN4G31,XGRN4T31,GRN4T31,XGRN4A31,GRN4A31,XGRN4N41,GRN4N41,XGRN4G41,GRN4G41,XGRN4T41,GRN4T41,XGRN4A41,GRN4A41,XGRN4N51,GRN4N51,XGRN4G51,GRN4G51,XGRN4T51,GRN4T51,XGRN4A51,GRN4A51,XGRN4N0,GRN4N0,XGRN4ON0,GRN4ON0,XGRN4WF0,GRN4WF0,XGRN4OF0,GRN4OF0,XGRN4UN0,GRN4UN0,XGRN4G0,GRN4G0,XGRN4T0,GRN4T0,XGRN4A0,GRN4A0,XGRN4N10,GRN4N10,XGRN4G10,GRN4G10,XGRN4T10,GRN4T10,XGRN4A10,GRN4A10,XGRN4N20,GRN4N20,XGRN4G20,GRN4G20,XGRN4T20,GRN4T20,XGRN4A20,GRN4A20,XGRN4N30,GRN4N30,XGRN4G30,GRN4G30,XGRN4T30,GRN4T30,XGRN4A30,GRN4A30,XGRN4N40,GRN4N40,XGRN4G40,GRN4G40,XGRN4T40,GRN4T40,XGRN4A40,GRN4A40,XGRN4N50,GRN4N50,XGRN4G50,GRN4G50,XGRN4T50,GRN4T50,XGRN4A50,GRN4A50,XNPGRN2,NPGRN2,XNPGRN1,NPGRN1,XNPGRN0,NPGRN0,XNPT412,NPT412,XNPT422,NPT422,XNPT432,NPT432,XNPT442,NPT442,XNPT452,NPT452,XNPT411,NPT411,XNPT421,NPT421,XNPT431,NPT431,XNPT441,NPT441,XNPT451,NPT451,XNPT410,NPT410,XNPT420,NPT420,XNPT430,NPT430,XNPT440,NPT440,XNPT450,NPT450    
100654,"R",5206,"R",5201,"R",5,"R",1547,"R",30,"R",5206,"R",5201,"R",5,"R",1547,"R",30,"R",0,"R",0,"R",810,"R",52,"R",737,"R",48,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"R",4326,"R",83,"R",50168163,"R",11597,"R",4326,"R",83,"R",50168163,"R",11597,"R",0,"R",0,"R",0,"A",,"R",3353,"R",64,"R",19363202,"R",5775,"R",3353,"R",64,"R",19363202,"R",5775,"R",0,"R",0,"R",0,"A",,"R",3050,"R",59,"R",20538077,"R",6734,"R",3050,"R",59,"R",20538077,"R",6734,"R",0,"R",0,"R",0,"A",,"R",1359,"R",88,"R",1359,"R",88,"R",1323,"R",86,"R",15362449,"R",11612,"R",1033,"R",67,"R",6366369,"R",6163,"R",1033,"R",67,"R",6185419,"R",5988,"R",91,"R",6,"R",180950,"R",1988,"R",29,"R",2,"R",50810,"R",1752,"R",1024,"R",66,"R",8945270,"R",8736,"R",887,"R",57,"R",5664417,"R",6386,"R",880,"R",57,"R",5322609,"R",6048,"R",26,"R",2,"R",341808,"R",13146,"R",712,"R",619,"R",70,"R",22,"R",1,"R",6598275,"R",9267,"R",612,"R",471,"R",78,"R",63,"R",0,"R",5180341,"R",8465,"R",693,"R",482,"R",158,"R",53,"R",0,"R",6240985,"R",9006,"R",645,"R",592,"R",34,"R",19,"R",0,"R",636,"R",5928907,"R",9192,"R",328,"R",328,"R",3271951,"R",9975,"R",176,"R",176,"R",1729702,"R",9828,"R",94,"R",91,"R",684364,"R",7280,"R",21,"R",18,"R",98566,"R",4694,"R",26,"R",23,"R",144324,"R",5551,"R",567,"R",439,"R",66,"R",62,"R",0,"R",549,"R",4640730,"R",8185,"R",311,"R",307,"R",2787106,"R",8962,"R",143,"R",142,"R",1235673,"R",8641,"R",57,"R",53,"R",378171,"R",6635,"R",29,"R",22,"R",87821,"R",3028,"R",27,"R",25,"R",151959,"R",5628,"R",657,"R",457,"R",150,"R",50,"R",0,"R",642,"R",5825299,"R",8867,"R",381,"R",380,"R",3713735,"R",9747,"R",141,"R",141,"R",1357002,"R",9624,"R",76,"R",73,"R",487604,"R",6416,"R",40,"R",34,"R",208688,"R",5217,"R",19,"R",14,"R",58270,"R",3067,"R",14064,"R",14600,"R",12921,"R",13776,"R",13923,"R",16471,"R",19057,"R",18200,"R",14205,"R",14526,"R",16532,"R",20139,"R",17539,"R",12177,"R",12300,"R",15508,"R",16707,"R",18857,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",13032,"R",12776,"R",256,"R",2172,"R",17,"R",13032,"R",12776,"R",256,"R",2172,"R",17,"R",0,"R",0,"R",1881,"R",87,"R",291,"R",13,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"R",9696,"R",74,"R",101942282,"R",10514,"R",9645,"R",75,"R",101800616,"R",10555,"R",51,"R",20,"R",141666,"R",2778,"R",4324,"R",33,"R",26529097,"R",6135,"R",4324,"R",34,"R",26529097,"R",6135,"R",0,"R",0,"R",0,"A",,"R",5339,"R",41,"R",36242972,"R",6788,"R",5339,"R",42,"R",36242972,"R",6788,"R",0,"R",0,"R",0,"A",,"R",2107,"R",97,"R",2101,"R",97,"R",2059,"R",95,"R",23333975,"R",11333,"R",891,"R",41,"R",5581018,"R",6264,"R",891,"R",41,"R",5335268,"R",5988,"R",177,"R",8,"R",245750,"R",1388,"R",95,"R",4,"R",78369,"R",825,"R",1915,"R",88,"R",17674588,"R",9230,"R",1106,"R",51,"R",7271857,"R",6575,"R",1087,"R",50,"R",5565993,"R",5121,"R",124,"R",6,"R",1705864,"R",13757,"R",1779,"R",1522,"R",145,"R",70,"R",42,"R",18643927,"R",10480,"R",1800,"R",1535,"R",183,"R",54,"R",28,"R",17145431,"R",9525,"R",1585,"R",1325,"R",142,"R",56,"R",62,"R",15046376,"R",9493,"R",1260,"R",1095,"R",112,"R",53,"R",0,"R",1217,"R",12724450,"R",10099,"R",410,"R",410,"R",5333964,"R",13010,"R",210,"R",209,"R",2509572,"R",11950,"R",216,"R",214,"R",2055503,"R",9516,"R",168,"R",149,"R",1161418,"R",6913,"R",256,"R",235,"R",1663993,"R",6500,"R",1264,"R",1074,"R",141,"R",49,"R",0,"R",1200,"R",12010869,"R",9502,"R",426,"R",426,"R",4957183,"R",11637,"R",222,"R",222,"R",2470169,"R",11127,"R",217,"R",210,"R",1926464,"R",8878,"R",145,"R",124,"R",900763,"R",6212,"R",254,"R",218,"R",1756290,"R",6915,"R",1053,"R",883,"R",118,"R",50,"R",2,"R",992,"R",10175657,"R",9663,"R",322,"R",321,"R",3988192,"R",12386,"R",195,"R",195,"R",2121276,"R",10878,"R",161,"R",155,"R",1513529,"R",9401,"R",126,"R",112,"R",1010300,"R",8018,"R",249,"R",209,"R",1542360,"R",6194,"R",17413,"R",16834,"R",16990,"R",14816,"R",15876,"R",18310,"R",20913,"R",21326,"R",14620,"R",15130,"R",17379,"R",20045,"R",19342,"R",13862,"R",15370,"R",16847,"R",18230,"R",20054,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100690,"R",228,"R",228,"R",0,"R",0,"R",0,"R",228,"R",228,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",216,"R",95,"R",473411,"R",2192,"R",216,"R",95,"R",473411,"R",2192,"R",0,"Z",0,"R",0,"A",,"R",156,"R",68,"R",329636,"R",2113,"R",156,"R",68,"R",329636,"R",2113,"R",0,"Z",0,"R",0,"A",,"R",165,"R",72,"R",1317500,"R",7985,"R",165,"R",72,"R",1317500,"R",7985,"R",0,"Z",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",7169,"R",6985,"R",184,"R",1154,"R",16,"R",7169,"R",6985,"R",184,"R",1154,"R",16,"R",0,"R",0,"R",969,"R",84,"R",185,"R",16,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"R",4940,"R",69,"R",47598105,"R",9635,"R",4790,"R",69,"R",47009835,"R",9814,"R",150,"R",82,"R",588270,"R",3922,"R",1613,"R",22,"R",7561775,"R",4688,"R",1612,"R",23,"R",7559208,"R",4689,"R",1,"R",1,"R",2567,"R",2567,"R",2431,"R",34,"R",15656787,"R",6440,"R",2429,"R",35,"R",15645787,"R",6441,"R",2,"R",1,"R",11000,"R",5500,"R",1121,"R",97,"R",1116,"R",97,"R",1101,"R",95,"R",9619087,"R",8737,"R",279,"R",24,"R",1490308,"R",5342,"R",279,"R",24,"R",1362862,"R",4885,"R",68,"R",6,"R",127446,"R",1874,"R",13,"R",1,"R",46582,"R",3583,"R",1058,"R",92,"R",8082197,"R",7639,"R",455,"R",39,"R",3533785,"R",7767,"R",432,"R",37,"R",2198883,"R",5090,"R",97,"R",8,"R",1334902,"R",13762,"R",920,"R",552,"R",209,"R",49,"R",110,"R",6588101,"R",7161,"R",919,"R",559,"R",184,"R",44,"R",132,"R",6987147,"R",7603,"R",902,"R",408,"R",226,"R",52,"R",216,"R",6724413,"R",7455,"R",464,"R",298,"R",111,"R",35,"R",20,"R",452,"R",3349380,"R",7218,"R",93,"R",93,"R",983620,"R",10577,"R",84,"R",84,"R",769664,"R",9163,"R",79,"R",77,"R",466937,"R",5911,"R",76,"R",73,"R",447853,"R",5893,"R",132,"R",125,"R",681306,"R",5161,"R",485,"R",265,"R",113,"R",37,"R",70,"R",451,"R",3655336,"R",7537,"R",98,"R",98,"R",1163769,"R",11875,"R",66,"R",66,"R",664885,"R",10074,"R",94,"R",86,"R",655627,"R",6975,"R",83,"R",73,"R",406468,"R",4897,"R",144,"R",128,"R",764587,"R",5310,"R",515,"R",264,"R",140,"R",35,"R",76,"R",492,"R",3923644,"R",7619,"R",141,"R",141,"R",1440379,"R",10215,"R",72,"R",71,"R",736070,"R",10223,"R",99,"R",94,"R",623404,"R",6297,"R",84,"R",77,"R",475706,"R",5663,"R",119,"R",109,"R",648085,"R",5446,"R",19847,"R",18588,"R",17302,"R",16521,"R",17935,"R",21187,"R",21205,"R",21937,"R",13902,"R",15703,"R",18802,"R",20880,"R",20467,"R",14654,"R",14646,"R",18572,"R",19206,"R",19423,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",3296,"R",3296,"R",0,"R",938,"R",28,"R",3296,"R",3296,"R",0,"R",938,"R",28,"R",0,"R",0,"R",382,"R",41,"R",556,"R",59,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"R",3159,"R",96,"R",32218913,"R",10199,"R",3159,"R",96,"R",32218913,"R",10199,"R",0,"Z",0,"R",0,"A",,"R",2374,"R",72,"R",11648634,"R",4907,"R",2374,"R",72,"R",11648634,"R",4907,"R",0,"Z",0,"R",0,"A",,"R",2563,"R",78,"R",21589661,"R",8424,"R",2563,"R",78,"R",21589661,"R",8424,"R",0,"Z",0,"R",0,"A",,"R",862,"R",92,"R",862,"R",92,"R",827,"R",88,"R",9073315,"R",10971,"R",685,"R",73,"R",4041503,"R",5900,"R",685,"R",73,"R",3782171,"R",5521,"R",265,"R",28,"R",259332,"R",979,"R",143,"R",15,"R",212371,"R",1485,"R",556,"R",59,"R",4819441,"R",8668,"R",640,"R",68,"R",4088888,"R",6389,"R",635,"R",68,"R",3666952,"R",5775,"R",40,"R",4,"R",421936,"R",10548,"R",296,"R",224,"R",24,"R",25,"R",23,"R",2516716,"R",8502,"R",206,"R",168,"R",20,"R",14,"R",4,"R",1795518,"R",8716,"R",430,"R",367,"R",26,"R",29,"R",8,"R",3895022,"R",9058,"R",291,"R",243,"R",23,"R",25,"R",0,"R",283,"R",2368392,"R",8139,"R",174,"R",173,"R",1481759,"R",8516,"R",62,"R",62,"R",494836,"R",7981,"R",33,"R",29,"R",226797,"R",6873,"R",15,"R",12,"R",93848,"R",6257,"R",7,"R",7,"R",71152,"R",10165,"R",210,"R",176,"R",20,"R",14,"R",0,"R",204,"R",1758424,"R",8373,"R",115,"R",115,"R",1015884,"R",8834,"R",46,"R",46,"R",375439,"R",8162,"R",21,"R",21,"R",176298,"R",8395,"R",12,"R",11,"R",89836,"R",7486,"R",16,"R",11,"R",100967,"R",6310,"R",418,"R",362,"R",25,"R",28,"R",3,"R",389,"R",3488167,"R",8345,"R",284,"R",284,"R",2573442,"R",9061,"R",87,"R",81,"R",675785,"R",7768,"R",28,"R",23,"R",222495,"R",7946,"R",12,"R",1,"R",16445,"R",1370,"R",7,"R",0,"R",0,"R",0,"R",13504,"R",13176,"R",12875,"R",13512,"R",14047,"R",15155,"R",15771,"R",11863,"R",13066,"R",13738,"R",13505,"R",14414,"R",15590,"R",12877,"R",14170,"R",13992,"R",20568,"R",21938,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
