UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
175856, 2,"R",515,"R",0,"R",515,"R",217,"R",0,"R",217,"R",59,"R",0,"R",59,"R",26,"R",0,"R",26,"R",359,"R",1,"R",358,"R",57,"R",0,"R",57,"R",933,"R",1,"R",932,"R",300,"R",0,"R",300
175883, 4,"R",455,"Z",0,"R",455,"A",,"A",,"R",157,"R",9,"Z",0,"R",9,"A",,"A",,"R",2,"R",361,"Z",0,"R",361,"A",,"A",,"R",137,"R",825,"R",0,"R",825,"A",,"A",,"R",296
175935, 4,"R",274,"Z",0,"R",274,"A",,"A",,"R",109,"R",36,"Z",0,"R",36,"A",,"A",,"R",16,"R",149,"Z",0,"R",149,"A",,"A",,"R",78,"R",459,"R",0,"R",459,"A",,"A",,"R",203
175980, 1,"R",71,"R",0,"R",71,"R",33,"R",0,"R",33,"R",48,"R",0,"R",48,"R",30,"R",0,"R",30,"R",110,"R",0,"R",110,"R",64,"R",0,"R",64,"R",229,"R",0,"R",229,"R",127,"R",0,"R",127
175980, 2,"R",71,"Z",0,"R",71,"R",33,"R",0,"R",33,"R",48,"Z",0,"R",48,"R",30,"R",0,"R",30,"R",94,"Z",0,"R",94,"R",64,"R",0,"R",64,"R",213,"R",0,"R",213,"R",127,"R",0,"R",127
175980, 3,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",16,"Z",0,"R",16,"Z",0,"R",0,"Z",0,"R",16,"R",0,"R",16,"R",0,"R",0,"R",0
176008, 4,"R",339,"Z",0,"R",339,"A",,"A",,"R",102,"R",0,"Z",0,"R",0,"A",,"A",,"R",0,"R",139,"Z",0,"R",139,"A",,"A",,"R",41,"R",478,"R",0,"R",478,"A",,"A",,"R",143
176017, 1,"R",877,"R",3,"R",874,"R",477,"R",0,"R",477,"R",849,"R",2,"R",847,"R",564,"R",0,"R",564,"R",1920,"R",7,"R",1913,"R",1448,"R",0,"R",1448,"R",3646,"R",12,"R",3634,"R",2489,"R",0,"R",2489
176017, 2,"R",877,"R",3,"R",874,"R",477,"R",0,"R",477,"R",849,"R",2,"R",847,"R",564,"R",0,"R",564,"R",1920,"R",7,"R",1913,"R",1448,"R",0,"R",1448,"R",3646,"R",12,"R",3634,"R",2489,"R",0,"R",2489
176035, 1,"R",133,"R",0,"R",133,"R",45,"R",0,"R",45,"R",28,"R",0,"R",28,"R",11,"R",1,"R",12,"R",56,"R",0,"R",56,"R",25,"R",0,"R",25,"R",217,"R",0,"R",217,"R",81,"R",1,"R",82
176035, 2,"R",133,"Z",0,"R",133,"R",45,"R",0,"R",45,"R",28,"Z",0,"R",28,"R",11,"R",1,"R",12,"R",56,"Z",0,"R",56,"R",25,"R",0,"R",25,"R",217,"R",0,"R",217,"R",81,"R",1,"R",82
176044, 1,"R",337,"R",0,"R",337,"R",65,"R",0,"R",65,"R",19,"R",0,"R",19,"R",10,"R",0,"R",10,"R",46,"R",0,"R",46,"R",14,"R",0,"R",14,"R",402,"R",0,"R",402,"R",89,"R",0,"R",89
