UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
180203, 3,"R",29,"Z",0,"R",29,"Z",0,"R",11,"R",11,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",5,"Z",0,"R",5,"Z",0,"R",0,"R",0,"R",34,"R",0,"R",34,"R",0,"R",11,"R",11
180212, 4,"R",14,"R",1,"R",13,"A",,"A",,"R",6,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",31,"R",0,"R",31,"A",,"A",,"R",1,"R",45,"R",1,"R",44,"A",,"A",,"R",7
180249, 4,"R",52,"Z",0,"R",52,"A",,"A",,"R",15,"R",17,"Z",0,"R",17,"A",,"A",,"R",7,"R",46,"Z",0,"R",46,"A",,"A",,"R",15,"R",115,"R",0,"R",115,"A",,"A",,"R",37
180258, 1,"R",36,"R",0,"R",36,"R",10,"R",0,"R",10,"R",22,"R",0,"R",22,"R",14,"R",0,"R",14,"R",34,"R",0,"R",34,"R",15,"R",4,"R",19,"R",92,"R",0,"R",92,"R",39,"R",4,"R",43
180258, 2,"R",36,"Z",0,"R",36,"R",10,"R",0,"R",10,"R",22,"Z",0,"R",22,"R",14,"R",0,"R",14,"R",34,"Z",0,"R",34,"R",15,"R",4,"R",19,"R",92,"R",0,"R",92,"R",39,"R",4,"R",43
180276, 4,"R",32,"Z",0,"R",32,"A",,"A",,"R",12,"R",7,"Z",0,"R",7,"A",,"A",,"R",3,"R",55,"Z",0,"R",55,"A",,"A",,"R",24,"R",94,"R",0,"R",94,"A",,"A",,"R",39
180328, 4,"R",17,"Z",0,"R",17,"A",,"A",,"R",4,"R",0,"Z",0,"R",0,"A",,"A",,"R",0,"R",20,"Z",0,"R",20,"A",,"A",,"R",0,"R",37,"R",0,"R",37,"A",,"A",,"R",4
180373, 4,"R",46,"Z",0,"R",46,"A",,"A",,"R",29,"R",16,"Z",0,"R",16,"A",,"A",,"R",11,"R",59,"Z",0,"R",59,"A",,"A",,"R",19,"R",121,"R",0,"R",121,"A",,"A",,"R",59
180416, 1,"R",64,"R",0,"R",64,"R",26,"R",0,"R",26,"R",34,"R",0,"R",34,"R",17,"R",0,"R",17,"R",138,"R",0,"R",138,"R",94,"R",0,"R",94,"R",236,"R",0,"R",236,"R",137,"R",0,"R",137
180416, 2,"R",64,"Z",0,"R",64,"R",26,"R",0,"R",26,"R",34,"Z",0,"R",34,"R",17,"R",0,"R",17,"R",138,"Z",0,"R",138,"R",94,"R",0,"R",94,"R",236,"R",0,"R",236,"R",137,"R",0,"R",137
180461, 1,"R",603,"R",0,"R",603,"R",238,"R",12,"R",250,"R",447,"R",1,"R",446,"R",233,"R",9,"R",242,"R",1737,"R",3,"R",1734,"R",1087,"R",17,"R",1104,"R",2787,"R",4,"R",2783,"R",1558,"R",38,"R",1596
180461, 2,"R",572,"R",0,"R",572,"R",235,"R",2,"R",237,"R",429,"R",1,"R",428,"R",230,"R",4,"R",234,"R",1699,"R",3,"R",1696,"R",1083,"R",3,"R",1086,"R",2700,"R",4,"R",2696,"R",1548,"R",9,"R",1557
180461, 3,"R",31,"Z",0,"R",31,"R",3,"R",10,"R",13,"R",18,"Z",0,"R",18,"R",3,"R",5,"R",8,"R",38,"Z",0,"R",38,"R",4,"R",14,"R",18,"R",87,"R",0,"R",87,"R",10,"R",29,"R",39
180489, 1,"R",563,"R",0,"R",563,"R",141,"R",45,"R",186,"R",268,"R",0,"R",268,"R",103,"R",19,"R",122,"R",725,"R",0,"R",725,"R",344,"R",55,"R",399,"R",1556,"R",0,"R",1556,"R",588,"R",119,"R",707
180489, 2,"R",382,"Z",0,"R",382,"R",129,"R",7,"R",136,"R",227,"Z",0,"R",227,"R",99,"R",10,"R",109,"R",610,"Z",0,"R",610,"R",326,"R",13,"R",339,"R",1219,"R",0,"R",1219,"R",554,"R",30,"R",584
180489, 3,"R",181,"Z",0,"R",181,"R",12,"R",38,"R",50,"R",41,"Z",0,"R",41,"R",4,"R",9,"R",13,"R",115,"Z",0,"R",115,"R",18,"R",42,"R",60,"R",337,"R",0,"R",337,"R",34,"R",89,"R",123
180522, 1,"R",98,"R",0,"R",98,"R",22,"R",19,"R",41,"R",29,"R",0,"R",29,"R",6,"R",4,"R",10,"R",88,"R",0,"R",88,"R",27,"R",13,"R",40,"R",215,"R",0,"R",215,"R",55,"R",36,"R",91
180522, 2,"R",46,"Z",0,"R",46,"R",12,"R",5,"R",17,"R",14,"Z",0,"R",14,"R",5,"R",1,"R",6,"R",44,"Z",0,"R",44,"R",19,"R",2,"R",21,"R",104,"R",0,"R",104,"R",36,"R",8,"R",44
180522, 3,"R",52,"Z",0,"R",52,"R",10,"R",14,"R",24,"R",15,"Z",0,"R",15,"R",1,"R",3,"R",4,"R",44,"Z",0,"R",44,"R",8,"R",11,"R",19,"R",111,"R",0,"R",111,"R",19,"R",28,"R",47
180595, 1,"R",94,"R",0,"R",94,"R",37,"R",0,"R",37,"R",65,"R",0,"R",65,"R",28,"R",1,"R",29,"R",88,"R",1,"R",87,"R",49,"R",0,"R",49,"R",247,"R",1,"R",246,"R",114,"R",1,"R",115
180595, 2,"R",94,"R",0,"R",94,"R",37,"R",0,"R",37,"R",65,"R",0,"R",65,"R",28,"R",1,"R",29,"R",88,"R",1,"R",87,"R",49,"R",0,"R",49,"R",247,"R",1,"R",246,"R",114,"R",1,"R",115
180647, 1,"R",86,"R",2,"R",84,"R",4,"R",20,"R",24,"R",49,"R",0,"R",49,"R",3,"R",16,"R",19,"R",9,"R",0,"R",9,"R",3,"R",4,"R",7,"R",144,"R",2,"R",142,"R",10,"R",40,"R",50
180647, 2,"R",18,"R",1,"R",17,"R",1,"R",2,"R",3,"R",5,"R",0,"R",5,"R",1,"R",1,"R",2,"R",4,"R",0,"R",4,"R",2,"R",1,"R",3,"R",27,"R",1,"R",26,"R",4,"R",4,"R",8
180647, 3,"R",68,"R",1,"R",67,"R",3,"R",18,"R",21,"R",44,"R",0,"R",44,"R",2,"R",15,"R",17,"R",5,"R",0,"R",5,"R",1,"R",3,"R",4,"R",117,"R",1,"R",116,"R",6,"R",36,"R",42
180692, 1,"R",115,"R",0,"R",115,"R",44,"R",11,"R",55,"R",41,"R",0,"R",41,"R",15,"R",3,"R",18,"R",117,"R",0,"R",117,"R",55,"R",7,"R",62,"R",273,"R",0,"R",273,"R",114,"R",21,"R",135
180692, 2,"R",62,"Z",0,"R",62,"R",30,"R",6,"R",36,"R",25,"Z",0,"R",25,"R",10,"R",2,"R",12,"R",81,"Z",0,"R",81,"R",43,"R",5,"R",48,"R",168,"R",0,"R",168,"R",83,"R",13,"R",96
180692, 3,"R",53,"Z",0,"R",53,"R",14,"R",5,"R",19,"R",16,"Z",0,"R",16,"R",5,"R",1,"R",6,"R",36,"Z",0,"R",36,"R",12,"R",2,"R",14,"R",105,"R",0,"R",105,"R",31,"R",8,"R",39
180814, 1,"R",7,"R",0,"R",7,"R",1,"R",0,"R",1,"R",7,"R",0,"R",7,"R",2,"R",0,"R",2,"R",20,"R",0,"R",20,"R",16,"R",0,"R",16,"R",34,"R",0,"R",34,"R",19,"R",0,"R",19
180814, 2,"R",7,"Z",0,"R",7,"R",1,"R",0,"R",1,"R",7,"Z",0,"R",7,"R",2,"R",0,"R",2,"R",20,"Z",0,"R",20,"R",16,"R",0,"R",16,"R",34,"R",0,"R",34,"R",19,"R",0,"R",19
180832, 1,"R",10,"R",0,"R",10,"R",3,"R",3,"R",6,"R",16,"R",0,"R",16,"R",6,"R",6,"R",12,"R",14,"R",0,"R",14,"R",9,"R",3,"R",12,"R",40,"R",0,"R",40,"R",18,"R",12,"R",30
