UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100830,98, 98,"R",10,"A",
100830,99, 99,"R",413,"R",338
100858, 1,  1,"R",3188,"R",3147
100858, 4,  4,"R",13,"R",13
100858, 5,  5,"R",8,"R",7
100858, 6,  6,"R",75,"R",73
100858, 8,  8,"R",70,"R",69
100858, 9,  9,"R",29,"R",29
100858,10, 10,"R",6,"R",6
100858,11, 11,"R",10,"R",10
100858,12, 12,"R",300,"R",298
100858,13, 13,"R",703,"R",699
100858,15, 15,"R",1,"R",1
100858,16, 16,"R",6,"R",6
100858,17, 17,"R",104,"R",104
100858,18, 18,"R",9,"R",9
100858,19, 19,"R",1,"R",1
100858,20, 20,"R",5,"R",5
100858,21, 21,"R",54,"R",53
100858,22, 22,"R",58,"R",58
100858,23, 23,"R",4,"R",4
100858,24, 24,"R",57,"R",57
100858,25, 25,"R",17,"R",16
100858,26, 26,"R",20,"R",19
100858,27, 27,"R",15,"R",15
100858,28, 28,"R",20,"R",19
100858,29, 29,"R",28,"R",28
100858,30, 30,"R",2,"R",2
100858,31, 31,"R",3,"R",3
100858,32, 32,"R",5,"R",5
100858,33, 33,"R",6,"R",6
100858,34, 34,"R",62,"R",62
100858,36, 36,"R",39,"R",38
100858,37, 37,"R",184,"R",182
100858,39, 39,"R",39,"R",39
100858,40, 40,"R",2,"R",2
100858,41, 41,"R",1,"R",1
100858,42, 42,"R",61,"R",61
100858,44, 44,"R",2,"R",2
100858,45, 45,"R",80,"R",79
100858,46, 46,"R",1,"R",1
100858,47, 47,"R",246,"R",244
100858,48, 48,"R",257,"R",257
100858,49, 49,"R",5,"R",5
100858,51, 51,"R",81,"R",79
100858,53, 53,"R",6,"R",5
100858,55, 55,"R",11,"R",11
100858,58,999,"R",5894,"R",5830
100858,66, 66,"R",1,"R",1
100858,89,999,"R",1,"R",1
100858,90, 90,"R",40,"R",24
100858,99, 99,"R",5935,"R",5855
100937, 1,  1,"R",91,"R",85
100937, 4,  4,"R",1,"R",1
100937, 5,  5,"R",1,"R",1
100937, 6,  6,"R",1,"R",1
100937,12, 12,"R",8,"R",8
100937,13, 13,"R",28,"R",28
100937,17, 17,"R",1,"R",1
100937,22, 22,"R",3,"R",3
100937,29, 29,"R",1,"R",1
100937,37, 37,"R",4,"R",3
100937,47, 47,"R",5,"R",5
100937,48, 48,"R",3,"R",2
100937,58,999,"R",147,"R",139
100937,90, 90,"R",1,"Z",0
100937,99, 99,"R",148,"R",139
101028, 1,  1,"R",212,"R",147
101028,13, 13,"R",59,"R",31
101028,22, 22,"R",1,"R",1
101028,58,999,"R",272,"R",179
101028,99, 99,"R",272,"R",179
101143, 1,  1,"R",507,"R",337
101143,12, 12,"R",16,"R",13
101143,13, 13,"R",5,"R",4
101143,22, 22,"R",3,"R",3
101143,42, 42,"R",1,"R",1
101143,48, 48,"R",1,"R",1
101143,58,999,"R",533,"R",359
101143,98, 98,"R",21,"A",
101143,99, 99,"R",554,"R",359
101161, 1,  1,"R",1369,"R",1057
