UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW 
216083,32,15,4,4,"12A","R",46,"R",14,"R",32,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",42,"R",12,"R",30,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
216083,33,20,4,4,"30 ","R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
216083,35,22,4,4,"57 ","R",41,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
216083,37,24,4,4,"56 ","R",41,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
216083,47,31,4,4,"22 ","R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
216083,48,32,4,4,"23 ","R",25,"R",7,"R",18,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"R",0,"R",3,"R",1,"R",2,"R",1,"R",0,"R",1,"Z",0,"Z",0,"Z",0,"R",21,"R",6,"R",15,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
216278, 1,10,1,1,"999","R",634,"R",283,"R",351,"R",4,"Z",0,"R",4,"R",13,"R",4,"R",9,"R",31,"R",14,"R",17,"R",51,"R",27,"R",24,"R",1,"R",1,"Z",0,"R",498,"R",225,"R",273,"R",19,"R",9,"R",10,"R",16,"R",2,"R",14,"R",1,"R",1,"Z",0
216278, 2,12,1,1,"999","R",633,"R",282,"R",351,"R",4,"R",0,"R",4,"R",13,"R",4,"R",9,"R",31,"R",14,"R",17,"R",51,"R",27,"R",24,"R",1,"R",1,"R",0,"R",497,"R",224,"R",273,"R",19,"R",9,"R",10,"R",16,"R",2,"R",14,"R",1,"R",1,"R",0
216278, 3,13,1,1,"999","R",469,"R",200,"R",269,"R",3,"Z",0,"R",3,"R",11,"R",4,"R",7,"R",17,"R",10,"R",7,"R",35,"R",18,"R",17,"R",1,"R",1,"Z",0,"R",379,"R",162,"R",217,"R",11,"R",5,"R",6,"R",12,"Z",0,"R",12,"Z",0,"Z",0,"Z",0
216278, 6,10,2,2,"10 ","R",634,"R",283,"R",351,"R",4,"R",0,"R",4,"R",13,"R",4,"R",9,"R",31,"R",14,"R",17,"R",51,"R",27,"R",24,"R",1,"R",1,"R",0,"R",498,"R",225,"R",273,"R",19,"R",9,"R",10,"R",16,"R",2,"R",14,"R",1,"R",1,"R",0
